"","true","estimated","tissue_spiked","spike_color"
"sample_273",0.05,0,"adipocyte",TRUE
"sample_274",0.05,0.011374283379456,"adipocyte",TRUE
"sample_275",0.05,0.0402355631215747,"adipocyte",TRUE
"sample_276",0.05,0,"adipocyte",TRUE
"sample_277",0.05,0.159175402230259,"adipocyte",TRUE
"sample_278",0.05,0.134292790835672,"adipocyte",TRUE
"sample_279",0.05,0.102993548986301,"adipocyte",TRUE
"sample_280",0.05,0.0365770737448932,"adipocyte",TRUE
"sample_281",0.05,0,"adipocyte",TRUE
"sample_282",0.05,0.152673668101663,"adipocyte",TRUE
"sample_283",0.05,0.063636444665744,"adipocyte",TRUE
"sample_284",0.05,0,"adipocyte",TRUE
"sample_285",0.05,0,"adipocyte",TRUE
"sample_286",0.05,0.00736210050904664,"adipocyte",TRUE
"sample_287",0.05,0,"adipocyte",TRUE
"sample_288",0.05,0.121456074792217,"adipocyte",TRUE
"sample_289",0.05,0.195728591602857,"adipocyte",TRUE
"sample_290",0.05,0.158507033653495,"adipocyte",TRUE
"sample_291",0.05,0.0270345561648666,"adipocyte",TRUE
"sample_292",0.05,0.0613301790277989,"adipocyte",TRUE
"sample_293",0.05,0.0447025840359853,"adipocyte",TRUE
"sample_294",0.05,0,"adipocyte",TRUE
"sample_295",0.05,0,"adipocyte",TRUE
"sample_296",0.05,0.0582358418692143,"adipocyte",TRUE
"sample_297",0.05,0.00261927666968047,"adipocyte",TRUE
"sample_298",0.05,0.19619431545432,"adipocyte",TRUE
"sample_299",0.05,0,"adipocyte",TRUE
"sample_300",0.05,0.12620922745315,"adipocyte",TRUE
"sample_301",0.05,0,"adipocyte",TRUE
"sample_302",0.05,0.0778005652335213,"adipocyte",TRUE
"sample_303",0.05,0,"adipocyte",TRUE
"sample_304",0.05,0,"adipocyte",TRUE
"sample_305",0.05,0.0413082863309229,"adipocyte",TRUE
"sample_306",0.05,0,"adipocyte",TRUE
"sample_307",0.05,0.0169383700171932,"adipocyte",TRUE
"sample_308",0.05,0.00805887026982828,"adipocyte",TRUE
"sample_309",0.05,0.10872585503196,"adipocyte",TRUE
"sample_310",0.05,0.104874488844296,"adipocyte",TRUE
"sample_311",0.05,0,"adipocyte",TRUE
"sample_312",0.05,0,"adipocyte",TRUE
"sample_313",0.05,0,"adipocyte",TRUE
"sample_314",0.05,0,"adipocyte",TRUE
"sample_315",0.05,0.215419076411012,"adipocyte",TRUE
"sample_316",0.05,0,"adipocyte",TRUE
"sample_317",0.05,0,"adipocyte",TRUE
"sample_318",0.05,0,"adipocyte",TRUE
"sample_319",0.05,0,"adipocyte",TRUE
"sample_320",0.05,0,"adipocyte",TRUE
"sample_321",0.05,0.0364909757727776,"adipocyte",TRUE
"sample_322",0.05,0.207674723031103,"adipocyte",TRUE
"sample_323",0.05,0.143278766546794,"adipocyte",TRUE
"sample_324",0.05,0.00447376295323389,"adipocyte",TRUE
"sample_325",0.05,0.0422948632090842,"adipocyte",TRUE
"sample_326",0.05,0.1277713579917,"adipocyte",TRUE
"sample_327",0.05,0.135566135737185,"adipocyte",TRUE
"sample_328",0.05,0.184285283406973,"adipocyte",TRUE
