"methods","tissue_spiked","aitchison_median","diff_aitchison"
"CIBERSORT-sig","pancreas",0.655969994933029,0.0872221219509389
"CIBERSORT-sig","salivary gland",0.577035454446916,0.0504759033124896
"CIBERSORT-sig","skin",0.667607406556445,0.279054948993144
"CIBERSORT-sig","spleen",1.03286859716124,0.319966137595488
"CIBERSORT-sig","stomach",0.666990446558792,-0.126666775468328
"Source-provided","adipocyte",0.55339647865054,-0.109324733044398
"Source-provided","bladder",1.20464599752084,0.731668725607688
"Source-provided","bone",0.59074684839937,0.143538410035174
"Source-provided","bowel",1.16808286534766,0.521081497605742
"Source-provided","brain",0.305196641065614,-0.0701089794088533
"Source-provided","heart",0.463719462885172,0.105432910380004
"Source-provided","kidney",1.09346207814964,0.497334411588598
"Source-provided","liver",0.402838615667528,0.0846235675055808
"Source-provided","nerve",0.510697923228571,-0.25530954550904
"Source-provided","pancreas",0.259944071943491,-0.308803801038599
"Source-provided","skin",0.311505725316708,-0.0770467322465935
"Source-provided","spleen",0.587284286638937,-0.125618172926819
"Source-provided","stomach",1.12495060922109,0.33129338719397
"TSI>0.9","adipocyte",0.509776554460959,-0.152944657233979
"TSI>0.9","bladder",1.25093405789705,0.777956785983895
"TSI>0.9","bone",0.611941506441808,0.164733068077612
"TSI>0.9","bowel",1.15021504066071,0.503213672918798
"TSI>0.9","brain",0.277350914041031,-0.0979547064334357
"TSI>0.9","heart",0.51559996641054,0.157313413905372
"TSI>0.9","kidney",1.10529700796858,0.50916934140754
"TSI>0.9","liver",0.456388039723483,0.138172991561536
