"miRNA","adipocyte","artery","bladder","bone","bowel","brain","esophagus","heart","kidney","liver","lung","lymph_node","muscle","nerve","pancreas","pleurae","salivary_gland","skin","spleen","stomach","testis","thyroid","vein"
"hsa-miR-6813-3p",0.0440205611946748,0.0236862363451133,0,0.027780838248616,0.0297202895886053,0.0173786296477783,0,0.0163115232781328,0.0340426309592997,0,0.05621477317439,0.0529503183228374,0,0.0162412270650091,0,0.0511324730222946,0.0142931427499362,0.0915671135272608,0.033721366550234,0,0,0,0.00823779566579752
"hsa-miR-6813-5p",0.0966769043439833,0.0394175152571622,0.0456462865993978,0.308956674369398,0.06965726411582,0.0263379831722225,0.144677863168997,0.043473787355682,0.00953891763138524,0.0698120937493648,0.144619048044445,0.0714235831389611,0.011814300921675,0.0838713143327021,0.0680163792527345,0.0958776529701367,0.0687383320772766,0.0777449390086812,0.163192074316669,0.0407481512599777,0.0602806014096342,0.0214804191312078,0.100335661899172
"hsa-miR-6814-3p",0,0.012570742459643,0,0,0,0.00224140436717568,0.0483246811934863,0.00593296829840792,0.0373193864006826,0.141956592229877,0.00343464830855395,0,0,0.00871039893878829,0,0.0106747747650759,0,0.010389212976738,0,0,0.0118659953603547,0,0.0110672319535386
"hsa-miR-6814-5p",0.0257734612577137,0.0564658688777269,0,0.0206759094569894,0.00254267539576054,0.00417040021141616,0.0467135064787168,0.00526866527270838,0.1536447759983,0.0319753750701408,0.102183829775707,0.0529503183228374,0,0.00871039893878829,0.199720851217497,0,0.0486623087885746,0.020476573270401,0.0266965758308055,0.0416036997278529,0,0.12453805313418,0
"hsa-miR-6815-3p",0.0364966249256767,0.107505813425036,0.0333233917152759,0.0313209374791838,0.0405375547497292,0.0599753686695901,0.0962410070409182,0.0516653637045017,0.0792186834074678,0.128072129861111,0.0616224921054079,0.00998878536843886,0,0.113690131054462,0.0201833410449772,0.0124834137122596,0.0428794282498087,0.105976423560143,0,0.0658116851908785,0.0301403007048171,0.0459019214786153,0.0801936732231446
"hsa-miR-6815-5p",1.53246915967215,5.19082483997116,1.65903524877565,0.934219854329672,1.10380031472732,1.31872779642299,1.45516772428564,1.59427165356455,2.78844153476137,9.15204025083867,2.75807476598369,0.982469738504236,0.779559986666272,3.12197176274746,1.37502827393446,1.52079126613105,0.906071390953232,3.87564722659126,0.654955272267101,1.19210519710175,2.43683320570311,1.96205847858395,3.21554015857213
"hsa-miR-6816-3p",0,0,0,0.0669933512743176,0.0155867733878754,0.0274791809053627,0.0120811702983716,0.010279804693745,0.0122775120371067,0.00816009065659976,0.00470677117302139,0,0.0580721236829709,0.0217501507356552,0.00888826619533668,0,0,0.010087360293663,0.041809154554601,0,0,0.020067754368647,0.00823779566579752
"hsa-miR-6816-5p",0.0416165097657861,0.0480863610934133,0.0308845948763117,0.14200876632837,0.0381091159192272,0.0601580255042468,0.0104699955836021,0.0107464068339947,0.00894320134128072,0.0337868911481689,0.0513992930146138,0.00998878536843886,0.0345428995340509,0.0165463910923824,0.16416778643615,0.0641276204878622,0.0142931427499362,0.00504368014683152,0,0.0138944053327393,0.0230873631988826,0.0455653187287801,0.016475591331595
"hsa-miR-6817-3p",0.0099034303823214,0,0,0.00496562290334935,0.00354331612083046,0.0151623998199969,0.0298597814742649,0.0101245026614251,0.0090330511782044,0.00442002760604859,0.0432156953603822,0.0472037726782409,0,0.00259026532203533,0.00888826619533668,0.0460325275801115,0.0220245733418899,0.00504368014683152,0.0266965758308055,0,0,0,0
"hsa-miR-6817-5p",0,0.0377122273789291,0,0.0191754804866025,0.0263307525472655,0.0255386487726391,0.0575021724707605,0.0137904602575344,0.0132067937037925,0,0.00470677117302139,0.0307173988852611,0,0.0160556060118983,0,0.0578184451851233,0,0.00519460648836898,0.030225157447591,0,0.0224427356770559,0.0147911676749921,0.0166197177896541
"hsa-miR-6818-3p",0.133217756167563,0.177771210570107,0.0610885840375536,0.252237053164223,0.106339869155556,0.163550582458369,0.0848270219437745,0.16589197869997,0.105446664618051,0.189054596045546,0.19609365404204,0.112129767392661,0.209858029202798,0.103206555754274,0.0519076870944864,0.175636353336127,0.12051890935301,0.135843985265658,0.164073579812613,0.124649655143756,0.0448854713541119,0.183714153279846,0.118543880337795
"hsa-miR-6818-5p",0.269736159026707,0.309603629103748,0.0753157838300129,0.370701465888775,0.158506816748409,0.41316543910911,0.309509548496109,0.288279177590812,0.259421401914037,0.154565218717035,0.475932914233657,0.25223677950663,0.180672900819667,0.239038262472209,0.098509896570582,0.279924373366659,0.191984623102691,0.259159570318849,0.293178744368053,0.188609906332925,0.500515069453744,0.463871628319955,0.459721417143165
"hsa-miR-6819-3p",0.0638845941349492,0.246167453143985,0.266569930627065,0.178997242044254,0.0900641698403944,0.133025435442711,0.245650960461876,0.119309954482255,0.0462625877419634,0.0775872815443635,0.149809095703196,0.103643067584111,0.0871578743716714,0.116249564176527,0.0201833410449772,0.148994969731948,0.35304646584786,0.119928484455994,0.331980398856833,0.138617251457384,0.0230873631988826,0.0791373871489287,0.107034934083483
"hsa-miR-6819-5p",0.0394378479007364,0.00909339618750023,0,0,0.0147951883461267,0.00201593198288799,0.0216274085954923,0,0,0.0227641618641597,0.0231565417896263,0.105900636645675,0,0,0.177264195448737,0,0.0602280698661062,0,0.0597179286740888,0,0,0,0.0166197177896541
"hsa-miR-6820-3p",0.633677523277623,0.94197674640384,0.949126261895524,0.545921004039772,0.445254742951409,0.801330404618657,0.635821743606767,0.660953571071666,0.287222206947763,0.716186545376873,0.487069059116374,0.331398240035061,0.339014713804679,0.539734964947958,0.684940096709807,0.621828768029319,1.07726098675851,0.764958190962031,0.353353009564821,0.868280975989377,0.414436602415879,0.951663529227828,0.774821890401152
"hsa-miR-6820-5p",0.16943278891922,0.0576043076321627,0.214158948536544,0.123012496952004,0.125030209262194,0.158950330443242,0.116923297237909,0.145913369707029,0.131303210781254,0.159853331129377,0.136163546292925,0.125124944241743,0.237845021271664,0.0638907650709208,0.102286391320082,0.128952737082972,0.240646931891266,0.270897147224292,0.149842506584763,0.0964679927339858,0.103876817720093,0.212797222199383,0.0275428232851336
"hsa-miR-6821-3p",0.0536789324308191,0,0,0,0.0113937182132175,0.0045079664320533,0.0553359874893561,0.034167993549659,0,0.0112039428657971,0.0228400893553817,0.00998878536843886,0,0.0202239923988133,0.0112950748496405,0.0160121621476138,0,0,0.0295251437406403,0.00647310658124484,0.0336641035155839,0,0.00823779566579752
"hsa-miR-6821-5p",1.53791967310615,0.300361185019682,0.335793023133453,2.04441883290558,0.850387078039299,0.45526570056251,0.430127602122896,0.730673526630088,1.10407233273082,1.40531724028952,0.527374691919037,2.3224090453248,2.12703873627738,0.414002255050284,0.908189348214645,0.663829516856681,0.463368968499379,0.262839720255449,2.70446451675548,0.621484302230482,1.097700699242,0.69872208710699,0.337790264538584
"hsa-miR-6822-5p",0.0196309871360936,0.0251414849192861,0.0154422974381558,0.0206759094569894,0.0150976541848104,0.132334764470843,0,0.024062582408049,0.118823966167692,0.0119313769922465,0.0127021698529487,0.0299663561053166,0,0.0570751441628277,0.0186543581760861,0.032712262840869,0.0363177160918262,0.00519460648836898,0.0266965758308055,0,0.0182743053444624,0.0573203652678857,0.0275428232851336
"hsa-miR-6823-3p",0.0393437037633842,0,0,0.0621046744267837,0.00604409593852775,0.10252137759104,0.0120811702983716,0.0423237088472825,0.0090330511782044,0.0119313769922465,0.0332637258512779,0.0307173988852611,0.0172714497670255,0.03793848774841,0.0338852245489215,0.0124834137122596,0,0.0698465187010722,0.0258150703348609,0.0221843799841184,0.0413616685433451,0.0223356320851763,0.0110672319535386
"hsa-miR-6823-5p",0.00859115375257123,0,0.0154422974381558,0.00496562290334935,0.00328807144671988,0.0233246553676263,0,0.00602231217108509,0.0213179618125589,0,0.0303009614768793,0,0,0.00487536661669734,0,0.0160121621476138,0,0.0310207827581587,0.053393151661611,0,0.0420062960651718,0,0
