Mixture	bladder	lymph_node	muscle	salivary_gland	spleen	testis	adipocyte	artery	bone	esophagus	skin	stomach	kidney	liver	nerve	lung	heart	bowel	brain	pancreas	pleurae	thyroid	vein	P-value	Correlation	RMSE
SY170	0	0	0	0	0.291882218020493	0	0.145926483123978	0	0.236392352730121	0	0.00424808604929056	0.0924141396671188	0	0.0331642840377243	0.0236854437172841	0.145091281261716	0	0.0183353931750416	0.00886031821723243	0	0	0	0	9999	0.123126357479983	1.01233583895489
SY171	0.00568421216270932	0	0	0	0.277651563436609	0	0.133545024587701	0	0.248320619730913	0	0.00613174460218577	0.0704413920232616	0.0334129620019214	0.0308097432809939	0.042387646995042	0.113768129882854	0	0.014943637030021	0.00873997000572337	0.0141633542600648	0	0	0	9999	0.14503815511231	1.00075266007608
SY173	0	0	0	0	0.288183002647632	0	0.150238084069945	0	0.232151624949343	0	0.00425391072712054	0.0847601948028629	0	0.0322628574725954	0.020373964463492	0.152947089068156	0	0.0216332499311445	0.0131960218677094	0	0	0	0	9999	0.132934227572763	1.00783026634655
SY174	0	0	0	0	0.195641327289544	0	0.116477989309247	0.00444331061802711	0.363852870385703	0.0209344778239222	0	0.0599616191859716	0.0313072062914435	0.0361507327244394	0.0488207272143365	0.0588934512719892	0.0393314710188206	0.00160397366227095	0.0183649050896882	0.00421593811459643	0	0	0	9999	0.169847550086874	0.993223985167569
SY180	0.0224313653042053	0	0	0	0.269027401506141	0	0.209648482294098	0.00188826928799827	0.255321056404792	0	0.00358947929639149	0.0635514321270594	0	0.043700368088611	0.0178079760388856	0.0678608012512428	0.00220443877379836	0.00850307908843691	0.0344658505383396	0	0	0	0	9999	0.150646940084085	1.00046534403073
SY181	0	0.0149077737130189	0	0	0.322220917736344	0	0.229210267023516	0.047184340394194	0.228970011157	0	0.00278702933802769	0.0287540314829066	0	0.0325631391466906	0.00649855810317302	0.022143696349314	0	0.0379603547756086	0.0267998807802068	0	0	0	0	9999	0.136394189325763	1.0031214633951
SY182	0.0111529921003273	0.0116649241196792	0	0	0.330613545297323	0	0.192905418504544	0	0.220324523874909	0	0	0.029274291200858	0	0.0564519968021317	0.0174704088818856	0.0875832774320771	0	0.0179532291352227	0.0228636818203401	0.00174171083070195	0	0	0	9999	0.159121908015339	0.989845081865843
SY183	0.00402860208917735	0	0	0	0.197443024962698	0	0.0442023825752311	0	0.358504198706479	0.0468584030016066	0	0.0444229365748355	0.0309237530202229	0.0229634660931761	0.0171406973654997	0.130556776626274	0.0651951544339452	0	0.019412584236279	0.0183480203145763	0	0	0	9999	0.168098870152557	0.995879690268095
SY184	0	0	0	0	0.231571607440049	0	0.163299637255868	0.0414712990504799	0.332278772684343	0.0149351043264874	0	0.0408748085272761	0.0259237028468208	0.0274798596244453	0.0498042056517169	0.00411574673778047	0.0319963284300699	0.0188476940498505	0.0174012333748116	0	0	0	0	9999	0.144545378167036	1.00526262507499
SY187	0	0	0	0	0.21363875332969	0	0.184685218148893	0.0530654288983448	0.272636282776153	0	0.00301801942395727	0.0918915855866865	0.0162033914906134	0.0223281240745139	0.0909370431988114	0	0.0151897618729993	0.0165487322948163	0.0086680620775989	0.0111895968269219	0	0	0	9999	0.117969915677159	1.03436671188603
SY190	0.0533410006698332	0.0234692493342923	0	0	0.32968569209804	0	0.10168038410952	0	0.240047964352452	0.0142663938592323	0	0	0	0.0387379150287274	0.0325631599380123	0.125712974340402	0	0.0258822443413377	0.0146130219281505	0	0	0	0	9999	0.149275505706237	1.00386002228578
SY193	0	0	0	0	0.286821748665669	0	0.229754583875592	0.0433465343327386	0.249691365127529	0	0.00368010132222873	0.052107203200313	0.00253436045398897	0.0299759116101112	0.0422810066026151	0.00118031328735729	0	0.0340927675934011	0.0244170664880336	0.000117037440423158	0	0	0	9999	0.118692550272431	1.01469902450718
SY194	0	0	0	0	0.240454740437994	0	0.157424105860969	0.0221322632711158	0.307946362860417	0	0.000384536929450586	0.0627565766404963	0.0185835243156336	0.0234032170715985	0.0767750984400952	0.0292582943137781	0.0238762118083762	0.00756115780764598	0.0144412842849358	0.0150026259574928	0	0	0	9999	0.164523919558563	0.995775681300189
SY196	0.0417479275732579	0	0	0	0.313607560973252	0	0.123062457826915	0	0.243586685208611	0	0.000273212976316936	0.0153903170800765	0.0198142412426963	0.0395864034309014	0.0406857549921068	0.124942293023184	0	0.0228516143475975	0.0144515313250839	0	0	0	0	9999	0.143429740815119	1.00219717473238
SY197	0.0110209568749445	0	0	0	0.272181853546598	0	0.164578714871761	0	0.244164431549817	0	0.00674741996692196	0.0538514103397098	0.0265301542298876	0.0254330785100488	0.0519343460206972	0.0979220197539412	0	0.0223699385416687	0.00583419767152855	0.0174314781224756	0	0	0	9999	0.150939106725727	0.998515486605255
SY199	0	0	0	0.00932183659364007	0.254628789888447	0	0.220559536177204	0.0442584552706489	0.247432010312144	0	0.00665760606760988	0.0923603730968602	0	0.0395884095651191	0.0561268882642618	0	0	0.0155366843654061	0.013529410398659	0	0	0	0	9999	0.109195430558877	1.02970219362081
SY204	0	0	0	0.00381841911694435	0.237433288370186	0	0.243763919609315	0.0516115374341949	0.240244860626978	0	0.00633514463825335	0.0904527126564728	0.0118900008507277	0.0334637380776613	0.054458209966907	0	0	0	0.0195338205159974	0.00699434813636167	0	0	0	9999	0.102376498569481	1.03074126174553
SY205	0.012964535297151	0	0	0	0.261345477424318	0	0.204835876566535	0.00351779092154152	0.279756125438418	0	0.00123656110735323	0.0568879557616775	0	0.0358889554751613	0.0314142037257989	0.0718021323082843	0.00847721631512822	0.0125834726172042	0.0145970077099784	0.00469268933145008	0	0	0	9999	0.1886414925468	0.986803383722919
SY206	0	0	0	0.0263823692620473	0.272802587853916	0	0.210273948964932	0.0609574890989985	0.256983241019709	0	0.00611319620191901	0.0850238116881954	0.00676839479561994	0.0489486894231199	0.0210478173891732	0	0	0.00273227508634972	0.00196617921601935	0	0	0	0	9999	0.110129425010753	1.02712175266874
SY208	0	0	0	0	0.259664568934977	0	0.149117953781193	0.0140895028415157	0.323524210383734	0.00441844060759721	0	0.0569239798525666	0.0133767883391456	0.0312668437758861	0.0317808973819895	0.053138963688072	0.0257476033298523	0.00772429137756831	0.0292259557059019	0	0	0	0	9999	0.176119358879327	0.98915224060749
SY209	0.00889281680867695	0	0	0	0.314982497797871	0	0.192214364558466	0.0041113891354	0.243868587689981	0	0.000363438252177844	0.0222896704541128	0	0.0410321929856592	0.0448116369105726	0.0611677171400916	0	0.0407239126537584	0.0255417756132327	0	0	0	0	9999	0.160423884631269	0.991082029165535
SY210	0.00338420256305153	0	0	0	0.262149932248274	0	0.105044329977045	0	0.288038279980272	0	0.000135692741990074	0.051185526603223	0.0348127089464459	0.0238251549841711	0.0489337192911685	0.113336441354283	0.0267451318494871	0.0124855520556643	0.0100707570401264	0.0198525703647988	0	0	0	9999	0.167855416494177	0.990470035234714
SY211	0.0133516585829409	0	0	0	0.290879233536126	0	0.196710434013214	0	0.232192689069383	0	0.00469325935601354	0.03881813413645	0.0118925126693062	0.0365439800307059	0.0479293394530055	0.0705229664962472	0	0.0358864762346384	0.0180806447240982	0.00249867169787118	0	0	0	9999	0.131782424944123	1.00255240609846
SY212	0	0.0289202659815913	0	0	0.281950133203961	0	0.2091515414637	0.056708154046276	0.254406943234239	0.000746635225730356	0	0.0509522080868201	0	0.031828067475532	0.0319765419787266	0	0.00737506619142734	0.0216684685627166	0.0243159745492802	0	0	0	0	9999	0.11482877691339	1.01765575436788
SY213	0	0	0	0	0.174547078349318	0	0.164662569035983	0.0343165763409771	0.345960979641007	0.0193872133367279	0	0.0815970966216116	0.0151753424575951	0.0297390260482587	0.0666391488301995	0	0.0323356111391527	0	0.0268672108950956	0.00877214730407393	0	0	0	9999	0.118535143467635	1.02285479817233
SY214	0	0	0	0	0.268394914479545	0	0.120105634190263	0	0.309686993283529	0	0	0.0538807690439356	0.0272372726686827	0.0295432677252711	0.0384135014835277	0.0873446872402831	0.0293641924243028	0	0.0186392904198916	0.0173894770407685	0	0	0	9999	0.17418765733166	0.986727207748397
SY215	0	0	0	0	0.190361057105888	0	0.287989355097369	0.0414374841626137	0.256950974626148	0	0.00178106628414708	0.0921638590624347	0	0.0444156162871913	0.0417429565480741	0	0	0.0119999946805466	0.0311576361455875	0	0	0	0	9999	0.110175110621524	1.02763677625372
SY216	0.0317619996287015	0	0	0	0.266749987114496	0	0.144940518975175	0	0.24190828502312	0	0.00380709839601312	0.0436297663485493	0.0276833634019427	0.0306660848810312	0.0261234644397236	0.140018653423779	0	0.0130104466384732	0.01119561046049	0.0185047212685052	0	0	0	9999	0.159174018674682	0.999211679847354
SY218	0.0328350178115733	0.0730332660971035	0	0	0.335735188358615	0	0.11659635872892	0	0.209215713650952	0.00949925257933297	0	0.00731494632371089	0	0.0406403143331773	0.00269471155431025	0.143630314560306	0	0.0160764226086916	0.0127284933933076	0	0	0	0	9999	0.158936435594541	0.993391495959487
SY220	0.0469601592439613	0	0	0	0.329023271079272	0	0.139380582105026	0	0.228919071711378	0	0	0.000899787370247136	0.0147357382548313	0.0360466272538378	0.0223814306090354	0.144029658339716	0	0.0272294530510203	0.0103942209816746	0	0	0	0	9999	0.139034814774477	1.00253503285355
SY221	0	0	0	0	0.259965561408949	0	0.179449754659727	0.0342640306050063	0.316816885816988	0.00230566933643186	0	0.0574406111172248	0.00975713478856319	0.0286605306295545	0.0380409984204125	0.0117677463843706	0.0213688772811844	0.0175273963499773	0.0226348032016109	0	0	0	0	9999	0.140777327655016	1.00461890708021
SY222	0.0330800372423758	0	0	0	0.314720623426221	0	0.143593740364733	0	0.237336865396512	0	0.00287483018001612	0.0297943407543492	0.0109846957609706	0.0467767088898789	0.0316604681884763	0.121814255603605	0	0.0177810093129592	0.00729355985014227	0.00228886502975914	0	0	0	9999	0.148405006782131	0.9999233572195
SY223	0.0366279025668007	0	0	0	0.271150935344495	0	0.143681667141919	0	0.231510861073458	0	0.00353032173152306	0.0469799665568073	0.0181821385618986	0.0306567037336697	0.0226725038627253	0.145565125348335	0	0.0188852496965055	0.0152533457688377	0.015303278613025	0	0	0	9999	0.126839211274497	1.01395180751937
SY225	0	0	0	0	0.289708153343656	0	0.183829730342366	0.0117313860377734	0.249836947452026	0	0.00267876857158579	0.0460178109851631	0.0347565804821986	0.0397380780190176	0.0347378305105864	0.0536248856812602	0.0072841259295839	0.0183660249046687	0.0182337177254217	0.00945596001469185	0	0	0	9999	0.154810235903571	0.992784697241364
SY226	0	0	0	0	0.277692650642512	0	0.196108131457086	0	0.291045788655033	0.0255279112801928	0	0.0452204198562273	0.0139685332702523	0.0295455733940126	0.0400996069910046	0.0385736337493971	0.0202074625754785	0.00424173235022069	0.0158385489064296	0.00193000687215424	0	0	0	9999	0.161586329699487	0.991145591751716
SY227	0.0250104768336435	0	0	0	0.287548244418304	0	0.182114142399827	0	0.237867524033443	0	0.00228887105644085	0.0490182303558286	0.00296915761244811	0.0475025336155343	0.0366269813648707	0.0922479208230124	0	0.0115933383053874	0.0215177437106148	0.00369483547064493	0	0	0	9999	0.176153483641753	0.991582982857949
SY228	0.0133655936385966	0	0	0	0.273188979776497	0	0.161183620439902	0	0.219580932734323	0	0.00530446902957772	0.046212044488946	0.0121388877523639	0.0322974219638408	0.0455999792974429	0.127585134282472	0	0.0456749235900372	0.0109278682326553	0.0069401447733454	0	0	0	9999	0.139190689780024	1.00594613669328
SY230	0.0253881611096888	0	0	0	0.271662941843739	0	0.122452923025242	0	0.252549803761474	0	0.00274639471276657	0.0550557978474156	0.0287385035037165	0.0370486343202533	0.0206592996285978	0.141630277595396	0.0127906781947748	0.00882404105429685	0.0133130338167154	0.00713950958592244	0	0	0	9999	0.131050288951683	1.007851747178
SY231	0.0115183610375358	0	0	0	0.261567083206323	0	0.149230478692283	0	0.278672672060361	0	0.00325176185982182	0.0654041857322198	0.0170550435895496	0.0489876436359588	0.0516518701763491	0.064257808480933	0.0166726699751631	0.00549430978511403	0.0146789173742447	0.011557194394143	0	0	0	9999	0.157236479242991	0.996036050170291
SY232	0.0150866040054223	0	0	0	0.26487121181321	0	0.153142097233974	0	0.245696624698664	0	0.00528432111903118	0.0676334639854963	0.0244987600452891	0.0411357317473318	0.031680450768733	0.108042003130295	0.00687469554873764	0.0138434718990563	0.012955393765194	0.00925517023956583	0	0	0	9999	0.132752948986073	1.00688227092372
SY234	0	0	0	0	0.27898754715201	0	0.125821879444625	0.00504301656326397	0.272142572001791	0	0.00377038245261202	0.0483708737995814	0.030076742926937	0.0268456616095266	0.0368655006506673	0.112545027792686	0.0159649303636191	0.0196368415088605	0.0134875716777694	0.0104414520560509	0	0	0	9999	0.169170741028189	0.989857204827397
SY238	0	0	0	0	0.207575834374165	0	0.0443881109761206	0	0.359272299472519	0.0357870249334452	0	0.0510684758555649	0.0469292258109727	0.0246570875945132	0.0277660633029284	0.117135234236827	0.0541154904437957	0	0.0123660131033307	0.0189391398958183	0	0	0	9999	0.171649676079286	0.992733929670455
SY239	0	0	0	0	0.24807614948443	0	0.257990624711678	0.0565504229452759	0.235035293497399	0	0	0.0635702802524595	0.00614321623453298	0.0382533369718321	0.0576122101349663	0	0	0.0189999977740954	0.0177684679933312	0	0	0	0	9999	0.115789291389655	1.02315989349121
SY240	0	0	0	0	0.259642669019529	0	0.139145862767334	0	0.260463360916356	0	0.00289556005326135	0.0699653229082381	0.0243201361532017	0.0268703751529971	0.0413891399617658	0.115606131048009	0.0128729009626967	0.015928855319341	0.0177222005582641	0.0131774851790067	0	0	0	9999	0.141006186442683	1.00066560823081
SY241	0	0	0	0	0.29383123203704	0	0.208425813196548	0.0375519150697363	0.246461646043173	0	0.00333026037865483	0.054963004218534	0.0137837678179808	0.0430194330764419	0.059663737380001	0.000920616397262915	0	0.0179951119490319	0.0140638434794623	0.00598961895613301	0	0	0	9999	0.137949380917085	1.00495103142167
SY243	0	0	0	0	0.298967271094438	0	0.166277948562639	0.00380852707137031	0.28807664508066	0	0	0.0541006488287695	0.00925935839468824	0.0377757463584524	0.0361628955706242	0.0473017648152654	0.0181342888248188	0.0100116425846457	0.0269289474781129	0.00319431533551496	0	0	0	9999	0.171247789255261	0.98770211096525
SY244	0.0234391566224836	0	0	0	0.308419280519465	0	0.13387805098424	0	0.238263500168403	0	0.00107170991936337	0.037691801463872	0.0194839815703017	0.0363269914625375	0.029237152759478	0.133906020954337	0	0.0226608229936747	0.0156215305818433	0	0	0	0	9999	0.160024581375199	0.995839900460551
SY246	0	0	0	0	0.220828528861717	0	0.179785252496876	0.0431917166362099	0.316889929733236	0	0	0.08165254353708	0.0109651057640673	0.0289036087359	0.0322013706593616	0.0268360259355691	0.0224150182724035	0	0.0325449657451055	0.00378593362247472	0	0	0	9999	0.176908260503421	0.998125776169345
SY249	0.0219178144205419	0.0108848957887949	0	0	0.331709640577784	0	0.144265445465139	0	0.253544913571845	0	0	0.00788310359377667	0.00664342734984043	0.0464614569224567	0.0393214188770895	0.0902051624772134	0	0.0250979981146443	0.0220647228408746	0	0	0	0	9999	0.165370167023695	0.988690333085108
SY252	0.00865470029783908	0	0	0	0.281945246018006	0	0.139142238998324	0	0.251050355430785	0	0.00407104209443268	0.0614494377355668	0.0165765255638118	0.0352009138851917	0.0262849651504581	0.120524100721018	0.0104690142413216	0.0220084404912235	0.0133727298011274	0.0092502895708939	0	0	0	9999	0.134982784225681	1.00365031503699
SY253	0.0250025386085912	0	0	0	0.262072313569246	0	0.206055381489106	0.000976734778307596	0.24391889797496	0	0.00589298696842552	0.0602285896297756	0.00550642502058168	0.0397440397961538	0.0306512752203529	0.0789188407365694	0	0.0104026216079466	0.0196266800614091	0.0110026745385751	0	0	0	9999	0.150416612302086	1.00193230190886
SY254	0.0264137076547539	0.0103617460364919	0	0	0.337973800604612	0	0.16191594791934	0	0.24795764497219	0	0	0.00634930093026681	0.013477545628291	0.0377698825500047	0.0292693028772725	0.0789112691185364	0	0.0280594784595979	0.0215403732486429	0	0	0	0	9999	0.15600711797001	0.991497958370335
SY255	0.0254597092217776	0	0	0	0.284583272169215	0	0.125207022927518	0	0.258118920649354	0	0.00501038492739686	0.054157910100357	0.0274411298738819	0.0460389675614357	0.00867304367434106	0.120737797948717	0.0126392252028791	0.00924201298107907	0.018489784648794	0.00420081811325362	0	0	0	9999	0.143976018882069	1.00200812561046
SY257	0.00740067649220177	0	0	0	0.283247763618648	0	0.13049558847039	0	0.249432282445107	0	0.00612033363200171	0.0553052130608932	0.017962319389732	0.025708510811893	0.0294099170042749	0.130866481268549	0.00684474547052346	0.0301988221531549	0.0121088927049134	0.0148984534777174	0	0	0	9999	0.145054335622723	1.00045217893737
