"ID","miR.alias","miR2","miRNA","miRNA.prev"
"MIMAT0019783","hsa-miR-4692;","hsa_miR_4692;","hsa_miR_4692","hsa_miR_4692"
"MIMAT0019784","hsa-miR-4693-5p;","hsa_miR_4693_5p;","hsa_miR_4693_5p","hsa_miR_4693_5p"
"MIMAT0019785","hsa-miR-4693-3p;","hsa_miR_4693_3p;","hsa_miR_4693_3p","hsa_miR_4693_3p"
"MIMAT0019786","hsa-miR-4694-5p;","hsa_miR_4694_5p;","hsa_miR_4694_5p","hsa_miR_4694_5p"
"MIMAT0019787","hsa-miR-4694-3p;","hsa_miR_4694_3p;","hsa_miR_4694_3p","hsa_miR_4694_3p"
"MIMAT0019788","hsa-miR-4695-5p;","hsa_miR_4695_5p;","hsa_miR_4695_5p","hsa_miR_4695_5p"
"MIMAT0019789","hsa-miR-4695-3p;","hsa_miR_4695_3p;","hsa_miR_4695_3p","hsa_miR_4695_3p"
"MIMAT0019790","hsa-miR-4696;","hsa_miR_4696;","hsa_miR_4696","hsa_miR_4696"
"MIMAT0019791","hsa-miR-4697-5p;","hsa_miR_4697_5p;","hsa_miR_4697_5p","hsa_miR_4697_5p"
"MIMAT0019792","hsa-miR-4697-3p;","hsa_miR_4697_3p;","hsa_miR_4697_3p","hsa_miR_4697_3p"
"MIMAT0019793","hsa-miR-4698;","hsa_miR_4698;","hsa_miR_4698","hsa_miR_4698"
"MIMAT0019794","hsa-miR-4699-5p;","hsa_miR_4699_5p;","hsa_miR_4699_5p","hsa_miR_4699_5p"
"MIMAT0019795","hsa-miR-4699-3p;","hsa_miR_4699_3p;","hsa_miR_4699_3p","hsa_miR_4699_3p"
"MIMAT0019796","hsa-miR-4700-5p;","hsa_miR_4700_5p;","hsa_miR_4700_5p","hsa_miR_4700_5p"
"MIMAT0019797","hsa-miR-4700-3p;","hsa_miR_4700_3p;","hsa_miR_4700_3p","hsa_miR_4700_3p"
"MIMAT0019798","hsa-miR-4701-5p;","hsa_miR_4701_5p;","hsa_miR_4701_5p","hsa_miR_4701_5p"
"MIMAT0019799","hsa-miR-4701-3p;","hsa_miR_4701_3p;","hsa_miR_4701_3p","hsa_miR_4701_3p"
"MIMAT0019801","hsa-miR-4703-5p;","hsa_miR_4703_5p;","hsa_miR_4703_5p","hsa_miR_4703_5p"
"MIMAT0019802","hsa-miR-4703-3p;","hsa_miR_4703_3p;","hsa_miR_4703_3p","hsa_miR_4703_3p"
"MIMAT0019803","hsa-miR-4704-5p;","hsa_miR_4704_5p;","hsa_miR_4704_5p","hsa_miR_4704_5p"
"MIMAT0019804","hsa-miR-4704-3p;","hsa_miR_4704_3p;","hsa_miR_4704_3p","hsa_miR_4704_3p"
"MIMAT0019805","hsa-miR-4705;","hsa_miR_4705;","hsa_miR_4705","hsa_miR_4705"
"MIMAT0019806","hsa-miR-4706;","hsa_miR_4706;","hsa_miR_4706","hsa_miR_4706"
"MIMAT0019807","hsa-miR-4707-5p;","hsa_miR_4707_5p;","hsa_miR_4707_5p","hsa_miR_4707_5p"
"MIMAT0019808","hsa-miR-4707-3p;","hsa_miR_4707_3p;","hsa_miR_4707_3p","hsa_miR_4707_3p"
"MIMAT0019809","hsa-miR-4708-5p;","hsa_miR_4708_5p;","hsa_miR_4708_5p","hsa_miR_4708_5p"
"MIMAT0019810","hsa-miR-4708-3p;","hsa_miR_4708_3p;","hsa_miR_4708_3p","hsa_miR_4708_3p"
"MIMAT0019811","hsa-miR-4709-5p;","hsa_miR_4709_5p;","hsa_miR_4709_5p","hsa_miR_4709_5p"
"MIMAT0019812","hsa-miR-4709-3p;","hsa_miR_4709_3p;","hsa_miR_4709_3p","hsa_miR_4709_3p"
"MIMAT0019813","hsa-miR-3545-5p;hsa-miR-203b-5p;","hsa_miR_3545_5p;hsa_miR_203b_5p;","hsa_miR_203b_5p","hsa_miR_3545_5p"
"MIMAT0019814","hsa-miR-3545-3p;hsa-miR-203b-3p;","hsa_miR_3545_3p;hsa_miR_203b_3p;","hsa_miR_203b_3p","hsa_miR_3545_3p"
"MIMAT0019815","hsa-miR-4710;","hsa_miR_4710;","hsa_miR_4710","hsa_miR_4710"
"MIMAT0019816","hsa-miR-4711-5p;","hsa_miR_4711_5p;","hsa_miR_4711_5p","hsa_miR_4711_5p"
"MIMAT0019817","hsa-miR-4711-3p;","hsa_miR_4711_3p;","hsa_miR_4711_3p","hsa_miR_4711_3p"
"MIMAT0019818","hsa-miR-4712-5p;","hsa_miR_4712_5p;","hsa_miR_4712_5p","hsa_miR_4712_5p"
"MIMAT0019819","hsa-miR-4712-3p;","hsa_miR_4712_3p;","hsa_miR_4712_3p","hsa_miR_4712_3p"
"MIMAT0019820","hsa-miR-4713-5p;","hsa_miR_4713_5p;","hsa_miR_4713_5p","hsa_miR_4713_5p"
"MIMAT0019821","hsa-miR-4713-3p;","hsa_miR_4713_3p;","hsa_miR_4713_3p","hsa_miR_4713_3p"
