ID,AR-30,AR-33,AR-41,AR-43,AR-44,AR-46,AR-50,AR-52,AR-57,AR-58,AR-84,AR-85,AR-86,AR-87,N-18,N-20,N-27,N-31,N-37,N-45,N-48,N-49,N-51,N-53,N-54,N-55,N-56,N-64,N-65,N-92,CTL01_LVntr_1,CTL24_HPntr_1,PMC01_PCntr_1,RBC01_PCntr_1,HUV01_PCntr_1
hsa-miR-340*,4,0,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,14,31,4,0,0,0,1,0,0,0,0,0,525,76,30,142,11,20
hsa-miR-342,977,1022,3272,561,1,34,2224,3157,1,8,6583,9456,3601,9653,992,796,0,1213,1896,628,739,1174,0,2004,891,2,0,958,318,1228,789,248,6774,13,669
hsa-miR-342*,79,0,329,14,0,0,0,605,0,0,889,975,259,1955,24,0,0,112,89,61,0,0,0,0,359,0,0,0,436,202,15,6,34,4,2
hsa-miR-345,2101,1274,1989,686,73,46,9382,6874,4874,0,3582,27866,7487,5015,197,2409,395,844,2088,390,897,5463,594,5187,2586,0,0,0,447,284,177,128,11,74,268
hsa-miR-345*,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329,0,0,2,0,0,0,0,0,0,2
hsa-miR-346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
hsa-miR-346*,0,0,5,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
hsa-miR-34a,513,43,452,45,3,28,11913,7373,1267,0,4611,12315,2767,4712,24,948,0,61,117,30,244,607,191,972,366,16,7,0,1,263,1119,477,49,0,2481
hsa-miR-34a*,4,0,5,0,0,0,0,521,0,0,0,745,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,44,4,1,0,90
hsa-miR-34b,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1
hsa-miR-34b*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
hsa-miR-34c,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,9,0,0,19,2,2,0,1
hsa-miR-34c*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
hsa-miR-3605-3p,30,0,15,33,0,0,0,0,0,0,0,236,0,718,20,0,0,51,82,15,0,489,0,0,591,0,0,0,0,0,4,6,5,3,0
hsa-miR-3605-5p,6,390,3,0,0,0,0,0,0,0,0,1973,0,434,3,0,0,13,19,4,0,0,0,0,0,0,0,0,0,0,7,0,0,2,3
hsa-miR-361-3p,601,0,727,438,0,21,1409,983,602,0,1977,9349,1057,4617,418,487,0,522,1463,149,706,1851,0,2106,2715,0,0,0,376,2257,204,145,234,26,59
hsa-miR-361-5p,1490,507,1694,352,1,6,5026,9084,0,0,5088,40808,948,5024,180,141,0,1583,1988,214,1255,1234,416,4093,2332,0,5,0,0,1917,1779,440,1874,80,586
hsa-miR-3611,9,0,12,3,0,0,0,0,0,0,0,439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3,14,5,8
