"Organ_marker","study","Est","SE","t","P","CI_l","CI_h","weights"
"liver (miR-122-3p) miR-TS vs. cognitive impairment","pooled",0.437745667888044,0.0691734348386673,6.3282337924811,2.47983221541769e-10,0.302168226917328,0.57332310885876,200
"nerve (miR-338-5p) miR-TS vs. cognitive impairment","NAS",-0.114053441944434,0.170202983402614,0.670102483895016,0.510515667495285,-0.469268697970676,0.241161814081808,100
"nerve (miR-338-5p) miR-TS vs. cognitive impairment","pooled",-0.114053441944434,0.170202983402614,-0.670102483895017,0.502792461586754,-0.447645159474826,0.219538275585958,200
"lung (miR-146b-5p) miR-TS vs. cognitive impairment","NAS",0.120096152264241,0.24422661447993,0.491740642271852,0.622902703046987,-0.345439100150173,0.612178363006526,100
"lung (miR-146b-5p) miR-TS vs. cognitive impairment","pooled",0.120096152264241,0.24422661447993,0.491740642271853,0.622902703046986,-0.35857921618257,0.598771520711052,200
"heart (miR-208b-3p) miR-TS vs. cognitive impairment","NAS",0.14011514407516,0.155552642715269,-0.900757078950013,0.378351537648393,-0.184195032578093,0.464425320728414,100
"heart (miR-208b-3p) miR-TS vs. cognitive impairment","pooled",0.14011514407516,0.155552642715269,0.900757078950008,0.367717492878129,-0.164762433346794,0.444992721497114,200
"bowel (miR-215-5p) miR-TS vs. cognitive impairment","NAS",0.354671328385399,0.342808253736649,-1.03460556891336,0.313813582390299,-0.362723635637165,1.07206629240796,100
"bowel (miR-215-5p) miR-TS vs. cognitive impairment","pooled",0.354671328385399,0.342808253736649,1.03460556891335,0.300853152197711,-0.317220502541501,1.0265631593123,200
"brain (miR-769-3p) miR-TS vs. cognitive impairment","NAS",-0.0542108513137976,0.251875528927491,-0.21522873438572,0.829588989054295,-0.698100617769752,0.353216819498515,100
"brain (miR-769-3p) miR-TS vs. cognitive impairment","pooled",-0.0542108513137976,0.251875528927491,-0.21522873438572,0.829588989054295,-0.547877816598656,0.439456113971061,200
"bladder (miR-3617-5p) miR-TS vs. %body fat","DFTJ",0.0155239899630115,0.0533857635162533,0.290788947099823,0.771698537663571,-0.0901413902744769,0.1211893702005,30.2369962130785
"bladder (miR-3617-5p) miR-TS vs. %body fat","NAS",-0.0602564098509917,0.0407654313394524,-1.47812516318639,0.139900772152162,-0.140317226154553,0.0198044064525698,51.8567718949098
"bladder (miR-3617-5p) miR-TS vs. %body fat","SY",-0.071518065275984,0.0693733519201383,-1.0309155215437,0.30417609886332,-0.208550380691348,0.0655142501393799,17.9062318920117
"bladder (miR-3617-5p) miR-TS vs. %body fat","pooled",-0.0393592313642543,0.0293558581910622,-1.34076241641737,0.179997602240472,-0.0968956561540013,0.0181771934254928,200
"lymph node (miR-150-5p) miR-TS vs. %body fat","DFTJ",-0.0325687083956621,0.0532807016945254,-0.611266506631021,0.542142133908886,-0.13802614185839,0.0728887250670659,33.1885714488745
"lymph node (miR-150-5p) miR-TS vs. %body fat","NAS",0.0838579485220246,0.0407700783071766,2.05685031777983,0.0401338501474042,0.00378800585779158,0.163927891186258,43.2179776043595
"lymph node (miR-150-5p) miR-TS vs. %body fat","SY",-0.00954980152004206,0.0700059807247174,-0.136414080928235,0.891669826568366,-0.147831740710105,0.12873213767002,23.5934509467659
"lymph node (miR-150-5p) miR-TS vs. %body fat","pooled",0.0231794926187094,0.041021313871371,0.56505973190894,0.572033136661227,-0.0572208051676912,0.10357979040511,200
"salivary gland (miR-3187-3p) miR-TS vs. %body fat","DFTJ",0.0832742021783547,0.053441966532851,1.55821740068576,0.121730365822414,-0.0225024195723786,0.189050823929088,32.4724192240059
"salivary gland (miR-3187-3p) miR-TS vs. %body fat","NAS",0.0186538453599164,0.0410651879220542,0.454249604198165,0.649814011344385,-0.0619956745561648,0.0993033652759976,45.8943130066901
"salivary gland (miR-3187-3p) miR-TS vs. %body fat","SY",-0.0728711937814579,0.069713776887957,-1.04529114666353,0.297505416676462,-0.210575946383065,0.0648335588201488,21.633267769304
"salivary gland (miR-3187-3p) miR-TS vs. %body fat","pooled",0.0198377817366344,0.0360384426449385,0.550461681490573,0.582002752128329,-0.0507962679063575,0.0904718313796263,200
"pleurae (miR-6802-5p) miR-TS vs. %body fat","DFTJ",0.0171366728052865,0.0539394648208746,0.317701943506392,0.751245409427281,-0.0896246374149768,0.12389798302555,29.8770608046148
"pleurae (miR-6802-5p) miR-TS vs. %body fat","NAS",-0.0112898609287188,0.0408091814585548,-0.276650021519902,0.782144443600964,-0.0914365997929799,0.0688568779355424,52.195777297002
"pleurae (miR-6802-5p) miR-TS vs. %body fat","SY",0.0730376454917338,0.0696337523046603,1.04888280574312,0.295854318780112,-0.0645090355501776,0.210584326533645,17.9271618983832
"pleurae (miR-6802-5p) miR-TS vs. %body fat","pooled",0.0123206804404984,0.029483264500799,0.417887253976386,0.676029552045424,-0.0454654561277359,0.0701068170087327,200
"spleen (miR-99a-5p) miR-TS vs. %body fat","DFTJ",0.0451014644193153,0.053150964170528,0.848554021985625,0.397764607842579,-0.0600991821417869,0.150302110980418,33.3499017941218
"spleen (miR-99a-5p) miR-TS vs. %body fat","NAS",0.136887185986613,0.0404213471515248,3.38650726987087,0.0007543303202412,0.0575021300039285,0.216272241969298,42.8363377206097
"spleen (miR-99a-5p) miR-TS vs. %body fat","SY",-0.00298140850083696,0.0705611855712161,-0.0422528118922815,0.966351193783453,-0.142360036888405,0.136397219886731,23.8137604852685
"spleen (miR-99a-5p) miR-TS vs. %body fat","pooled",0.0729687658975403,0.0423529099812558,1.72287490823734,0.0849111487698918,-0.0100414123061881,0.155978944101269,200
"adipocyte (miR-365b-5p) miR-TS vs. %body fat","DFTJ",0.01781572511005,0.0535776961331771,0.332521298895828,0.740057136681844,-0.0882295435398434,0.123860993759943,33.4257091075737
"adipocyte (miR-365b-5p) miR-TS vs. %body fat","NAS",0.0753668251141496,0.0407038352838238,1.85159026388114,0.0645774355256386,-0.00457302029979602,0.155306670528095,40.4754992191466
"adipocyte (miR-365b-5p) miR-TS vs. %body fat","SY",-0.100032433517953,0.0694762238809512,-1.43980815205732,0.151925413567417,-0.237267950632403,0.037203083596498,26.0987916732797
"adipocyte (miR-365b-5p) miR-TS vs. %body fat","pooled",0.0103528747317009,0.0482631926477311,0.214508700393395,0.830150382936429,-0.0842412446367705,0.104946994100172,200
"artery (miR-140-3p) miR-TS vs. %body fat","DFTJ",0.062580944472567,0.0535030681093465,1.16967020180352,0.244377077440451,-0.0433166144136169,0.168478503358751,30.3432068941837
"artery (miR-140-3p) miR-TS vs. %body fat","NAS",0.0316560153571647,0.0407941721463059,0.775993571915916,0.438059568064714,-0.0484612461349378,0.111773276849267,52.1942431210707
"artery (miR-140-3p) miR-TS vs. %body fat","SY",0.13494292866805,0.0705270299616538,1.91335050889594,0.057534830881526,-0.00436823257063179,0.274254089906731,17.4625499847456
"artery (miR-140-3p) miR-TS vs. %body fat","pooled",0.0590761594451451,0.0294719876357383,2.00448507834973,0.0450181237556517,0.00131212512628821,0.116840193764002,200
